nom,reg-code,reg-nom,type,collab,url,techno,porteur,contact,twitter
Data Strasbourg,44,Grand Est,Portail,Dédié,https://data.strasbourg.eu,OpenDataSoft,MET,,
Data Sucy en Brie,11,Île-de-France,Portail,Dédié,https://sucy.data4citizen.com/,DATA4CITIZEN,COM,,
Data Sud,93,Provence-Alpes-Côte d'Azur,Portail,Mutualisé,https://www.datasud.fr,CKAN,REG,,
Data Toulouse Métropole,76,Occitanie,Portail,Mutualisé,https://data.toulouse-metropole.fr,OpenDataSoft,MET,,
Data Tourisme Pas de Calais 62,32,Hauts-de-France,Portail,Dédié,https://tourisme62.opendatasoft.com,OpenDataSoft,OACT,,
Data Val de Cher Controis,24,Centre-Val de Loire,Portail,Mutualisé,https://data.val2c.fr,OpenDataSoft,CC,,
Data Vendée,52,Pays de la Loire,Portail,Mutualisé,https://data.vendee.fr/pages/home0/,OpenDataSoft,DEP,,
Data Vendée,52,Pays de la Loire,Portail,Mutualisé,https://data.vendee.fr,OpenDataSoft,DEP,,
DatARA,84,Auvergne-Rhône-Alpes,Géoportail,Partenarial,https://www.datara.gouv.fr/geonetwork/,GeoNetwork,SDE,,
Do.TeRR - GéoCentre,24,Centre-Val de Loire,Géoportail,Partenarial,https://www.doterr.fr/geonetwork/,GeoNetwork,OACT,,
Données Publiques Niort Agglo,75,Nouvelle-Aquitaine,Portail,Mutualisé,https://donneespubliques.niortagglo.fr,OpenDataSoft,CA,,
Géo Charente,75,Nouvelle-Aquitaine,Géoportail,Partenarial,https://www.geocharente.fr/geonetwork/,GeoNetwork,DEP,,
Géo Hauts de Seine,11,Île-de-France,Géoportail,Dédié,https://geo.hauts-de-seine.fr/Site/donnees/catalogue/,Isogéo,DEP,,
Géo Loiret,24,Centre-Val de Loire,Géoportail,Partagé,https://loiret.maps.arcgis.com/home/gallery.html?view=grid&sortOrder=desc&sortField=modified,Isogéo,DEP,,
Géo Lorient Agglomération,53,Bretagne,Géoportail,Mutualisé,https://geocatalogue.lorient-agglo.bzh/les-donnees,Isogéo,CA,,
Géo Mayenne,52,Pays de la Loire,Géoportail,Partenarial,https://www.geomayenne.fr/portail/acces-aux-donnees/donnees/#catalogue,Isogéo,DEP,,
Géo Pays de Brest,53,Bretagne,Géoportail,Dédié,https://applications002.brest-metropole.fr/VIPDU60/aspx/HTDU500.aspx,Spécifique,AGCT,,
GéoArdèche,84,Auvergne-Rhône-Alpes,Géoportail,Partenarial,https://geoids.geoardeche.fr/geonetwork/,GeoNetwork,DEP,,
GéoBretagne,53,Bretagne,Géoportail,Partenarial,https://geobretagne.fr/geonetwork/,GeoNetwork,REG,,
GéoCompiégnois,32,Hauts-de-France,Géoportail,Partenarial,https://geo.compiegnois.fr/geonetwork/,GeoNetwork,CA,,
GéoGrandEst,44,Grand Est,Géoportail,Partenarial,https://www.geograndest.fr/geonetwork,GeoNetwork,REG,,
GéoGuyane,3,Guyane,Géoportail,Partenarial,https://www.geoguyane.fr/geonetwork/,GeoNetwork,REG,,
GéoMartinique,2,Martinique,Géoportail,Partenarial,http://www.geomartinique.fr/geonetwork/,GeoNetwork,REG,,
GéoNord Open Data,32,Hauts-de-France,Géoportail,Dédié,https://geonord-lenord.opendata.arcgis.com,ArcGis,DEP,,
GéoNormandie,28,Normandie,Géoportail,Partenarial,https://www.geonormandie.fr/geonetwork/,GeoNetwork,REG,,
GEOPAL,52,Pays de la Loire,Géoportail,Partenarial,https://www.geopal.org/geonetwork/,GeoNetwork,REG,,
Géoplateforme 17,75,Nouvelle-Aquitaine,Géoportail,Partenarial,https://www.geoplateforme17.fr/nos-services/le-geocatalogue,GeoServer,REG,,
Géoportail 93,11,Île-de-France,Géoportail,Dédié,https://geoportail93.fr,Spécifique,REG,,
Guyane SIG,3,Guyane,Géoportail,Dédié,https://catalogue.guyane-sig.fr/geonetwork/,GeoNetwork,REG,,
Herault Data,76,Occitanie,Portail,Mutualisé,https://www.herault-data.fr/pages/accueil/,OpenDataSoft,DEP,,
IDéO - Portail Opendata BFC,27,Bourgogne-Franche-Comté,Portail,Mutualisé,https://trouver.ternum-bfc.fr,CKAN,OACT,,
InfoGéo Corse,94,Corse,Géoportail,Partenarial,http://infogeo.ct-corse.fr/geoportal/catalog/main/home.page,ArcGis,REG,,
KaruGéo,1,Guadeloupe,Géoportail,Partenarial,https://www.karugeo.fr/geonetwork/,GeoNetwork,REG,,
Mapéo Calvados,28,Normandie,Géoportail,Partagé,http://open.isogeo.com/s/8ab60e6590a94eed922345badee8c6ca/B1MYSE2Es9iPJWXgR9KOSD062PPo0,Isogéo,DEP,,
Moselle Infogéo,44,Grand Est,Géoportail,Partenarial,http://www.moselleinfogeo.fr/infogeo/index.php/isogeo,Isogéo,DEP,,
Open Data CACL Guyane,3,Guyane,Portail,Partenarial,https://data.cacl-guyane.fr/,Spécifique,CA,,
Open data Normandie,28,Normandie,Portail,Mutualisé,https://opendata.normandie.fr,OpenDataSoft,REG,,
Opendata  IDF Mobilités (ex STIF),11,Île-de-France,Portail,Dédié,https://opendata.stif.info,OpenDataSoft,OACT,,
Opendata ADICO 60,32,Hauts-de-France,Portail,Mutualisé,https://opendata.adico.fr,CKAN,DEP,,
Opendata Agglo Chalons,44,Grand Est,Géoportail,Dédié,https://opendata-agglo-chalons.opendata.arcgis.com/search,ArcGis,CA,,
Opendata Agglo Pau,75,Nouvelle-Aquitaine,Portail,Dédié,https://opendata.agglo-pau.fr,Spécifique,CA,,
Opendata Agglo Saint Quentinois,32,Hauts-de-France,Géoportail,Dédié,http://opendata.agglo-saintquentinois.fr,ArcGis,CA,,
Opendata Ain,84,Auvergne-Rhône-Alpes,Géoportail,Dédié,http://departement-ain.opendata.arcgis.com,ArcGis,DEP,,
Opendata Albi,76,Occitanie,Portail,Dédié,https://opendata.mairie-albi.fr,CKAN,COM,,
Opendata Anglet,75,Nouvelle-Aquitaine,Portail,Dédié,https://anglet-opendatapaysbasque.opendatasoft.com,OpenDataSoft,COM,,
Opendata Antibes Juan les Pins,93,Provence-Alpes-Côte d'Azur,Site web,Dédié,http://www.antibes-juanlespins.com/administration/open-data/,Spécifique,COM,,
Opendata APUR,11,Île-de-France,Géoportail,Dédié,http://opendata.apur.org,ArcGis,OACT,,
Opendata Ardèche,84,Auvergne-Rhône-Alpes,Portail,Mutualisé,https://opendata.ardeche.fr,CKAN,DEP,,
Opendata Ardenne Métropole,32,Hauts-de-France,Portail,Dédié,https://ardennemetropole.opendatasoft.com/pages/home/,OpenDataSoft,CA,,
Opendata Aude,76,Occitanie,Portail,Mutualisé,https://opendata.aude.fr/pages/accueil/,OpenDataSoft,DEP,,
Opendata Auvergne Rhône Alpes,84,Auvergne-Rhône-Alpes,Portail,Mutualisé,http://opendata.auvergnerhonealpes.eu,Spécifique,REG,,
Opendata Bordeaux Métropole,75,Nouvelle-Aquitaine,Portail,Mutualisé,https://opendata.bordeaux-metropole.fr,OpenDataSoft,MET,,
Opendata Brest Metropole,53,Bretagne,Portail,Mutualisé,https://opendata.brest-metropole.fr/explore/?sort=modified,OpenDataSoft,MET,,
Opendata Brocas,75,Nouvelle-Aquitaine,Portail,Partagé,https://numerique.brocaslesforges.fr,OpenDataSoft,COM,,
Opendata Brocas Les Forges,75,Nouvelle-Aquitaine,Site web,Dédié,http://opendata.brocaslesforges.fr/project/jeux-donnees/,Spécifique,COM,,
Opendata CA Ajaccien,94,Corse,Portail,Dédié,https://opendata.ca-ajaccien.corsica,Spécifique,CA,,
