siren,nom,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,lon,merge,depcode,orga,tags,tranche_pop,tranche_ptf,platform_clean,text,id_odf,dep_label
308599703,ATMO OCCITANIE,OACT,OCC-76,https://data-atmo-occitanie.opendata.arcgis.com/datasets,38,,,,,,43.575525,3.94454,ptf,34,Atmo Occitanie Open Data,Environnement,p_na,d_26_50,ArcGIS,"<p>L'organisation ATMO OCCITANIE est un organisme associé de collectivité territoriale et se situe dans le département de Hérault (34). </p><br><p>ATMO OCCITANIE publie uniquement sur un portail local avec une plateforme de type ArcGIS.</p><br><p>Cette organisation a publié 38 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data-atmo-occitanie.opendata.arcgis.com/datasets'> la plateforme de ATMO OCCITANIE</a>.</p><br>",odf_308599703,Hérault
422969667,ATMO REUNION,OACT,RE-04,https://data-atmoreunion.opendata.arcgis.com/datasets,15,,,,,,-20.8961,55.534,ptf,974,Atmo Réunion Open Data,Environnement,p_na,d_11_25,ArcGIS,"<p>L'organisation ATMO REUNION est un organisme associé de collectivité territoriale et se situe dans le département de La Réunion (974). </p><br><p>ATMO REUNION publie uniquement sur un portail local avec une plateforme de type ArcGIS.</p><br><p>Cette organisation a publié 15 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data-atmoreunion.opendata.arcgis.com/datasets'> la plateforme de ATMO REUNION</a>.</p><br>",odf_422969667,La Réunion
324465632,ATMO SUD,OACT,PAC-93,https://trouver.datasud.fr/organization/atmosud,16,https://www.data.gouv.fr/fr/organizations/5b9fb3678b4c416ff2277bb5/,16,5b9fb3678b4c416ff2277bb5,,,43.286783,5.379505,ptf+datagouv,13,Data Sud,Environnement,p_na,d_26_50,CKAN,"<p>L'organisation ATMO SUD est un organisme associé de collectivité territoriale et se situe dans le département de Bouches-du-Rhône (13). </p><br><p>ATMO SUD publie sur un portail local et sur data.gouv avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 32 jeux de données : 16 jeux de données sur sa plateforme et 16 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://trouver.datasud.fr/organization/atmosud'> la plateforme de ATMO SUD</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5b9fb3678b4c416ff2277bb5/'> sa page sur datagouv</a>.</p><br>",odf_324465632,Bouches-du-Rhône
200052488,ATOUMOD,AGCT,NOR-28,,,https://www.data.gouv.fr/fr/organizations/5cc844dd634f41078d8e2c8e/,1,5cc844dd634f41078d8e2c8e,,,49.4382,1.10398,datagouv,76,DataGouv,Transport,p_na,d_1_5,DataGouv,"<p>L'organisation ATOUMOD est un autre groupement de collectivité territoriale et se situe dans le département de Seine-Maritime (76). </p><br><p>ATOUMOD publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5cc844dd634f41078d8e2c8e/'> sa page sur datagouv</a>.</p><br>",odf_200052488,Seine-Maritime
221000052,AUBE,DEP,GES-44,,,https://www.data.gouv.fr/fr/organizations/5a216283c751df6333108428/,1,5a216283c751df6333108428,,309117,48.292817,4.075149,datagouv,10,DataGouv,Administratif,p_250_500,d_1_5,DataGouv,"<p>L'organisation AUBE est un département et se situe dans le département de Aube (10). Ce département représente une population de 309117 habitants</p><br><p>AUBE publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5a216283c751df6333108428/'> sa page sur datagouv</a>.</p><br>",odf_221000052,Aube
429596190,AUBE EN CHAMPAGNE TOURISME,OACT,GES-44,,,https://www.data.gouv.fr/fr/organizations/54880126c751df081fa3fc15/,1,54880126c751df081fa3fc15,,,48.298282,4.077538,datagouv,10,DataGouv,Tourisme,p_na,d_1_5,DataGouv,"<p>L'organisation AUBE EN CHAMPAGNE TOURISME est un organisme associé de collectivité territoriale et se situe dans le département de Aube (10). </p><br><p>AUBE EN CHAMPAGNE TOURISME publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/54880126c751df081fa3fc15/'> sa page sur datagouv</a>.</p><br>",odf_429596190,Aube
200077113,AUBESSAGNE,COM,PDL-52,,,https://www.data.gouv.fr/fr/organizations/aubessagne/,1,,,704,44.738443,6.028525,datagouv,05,DataGouv,Equipements,p_0_1,d_1_5,DataGouv,"<p>L'organisation AUBESSAGNE est une commune et se situe dans le département de Hautes-Alpes (05). Cette commune représente une population de 704 habitants</p><br><p>AUBESSAGNE publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/aubessagne/'> sa page sur datagouv</a>.</p><br>",odf_200077113,Hautes-Alpes
218400042,AUBIGNAN,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/ville-daubignan,1,,,5719,44.09917,5.02425,datagouv,84,DataGouv,Equipements,p_5_10,d_1_5,DataGouv,"<p>L'organisation AUBIGNAN est une commune et se situe dans le département de Vaucluse (84). Cette commune représente une population de 5719 habitants</p><br><p>AUBIGNAN publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/ville-daubignan'> sa page sur datagouv</a>.</p><br>",odf_218400042,Vaucluse
213100225,AUCAMVILLE,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+d%27Aucamville,4,,,,Mairie d'Aucamville,8203,43.667997,1.429367,ptf,31,Data Toulouse Métropole,Citoyenneté,p_5_10,d_1_5,OpenDataSoft,"<p>L'organisation AUCAMVILLE est une commune et se situe dans le département de Haute-Garonne (31). Cette commune représente une population de 8203 habitants</p><br><p>AUCAMVILLE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 4 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+d%27Aucamville'> la plateforme de AUCAMVILLE</a>.</p><br>",odf_213100225,Haute-Garonne
221100019,AUDE,DEP,OCC-76,https://opendata.aude.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Aude,23,,,,Département de l'Aude,370260,43.206972,2.348836,ptf,11,Opendata Aude,Administratif-Education-Equipements-Transport-Environnement,p_250_500,d_11_25,OpenDataSoft,"<p>L'organisation AUDE est un département et se situe dans le département de Aude (11). Ce département représente une population de 370260 habitants</p><br><p>AUDE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 23 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.aude.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Aude'> la plateforme de AUDE</a>.</p><br>",odf_221100019,Aude
